Ep 83/300 | Steps:  35 | Reward:  -4.500 | ETA: 3.3 min
Ep 84/300 | Steps:  46 | Reward: -10.100 | ETA: 3.3 min
Ep 85/300 | Steps:  48 | Reward: -10.300 | ETA: 3.3 min
Ep 86/300 | Steps:  43 | Reward:  -8.900 | ETA: 3.3 min
Ep 87/300 | Steps:  30 | Reward:  -4.900 | ETA: 3.3 min
Ep 88/300 | Steps:  36 | Reward:  -4.600 | ETA: 3.3 min
Ep 89/300 | Steps:  42 | Reward:  -8.800 | ETA: 3.3 min
Ep 90/300 | Steps:  36 | Reward:  -6.400 | ETA: 3.3 min
Ep 91/300 | Steps:  35 | Reward:  -4.500 | ETA: 3.3 min
Ep 92/300 | Steps:  31 | Reward:  -4.100 | ETA: 3.3 min
Ep 93/300 | Steps:  37 | Reward:  -6.500 | ETA: 3.3 min
Ep 94/300 | Steps:  44 | Reward: -10.800 | ETA: 3.3 min
Ep 95/300 | Steps:  31 | Reward:  -5.000 | ETA: 3.3 min
Ep 96/300 | Steps:  44 | Reward:  -9.900 | ETA: 3.3 min
Ep 97/300 | Steps:  34 | Reward:  -7.100 | ETA: 3.2 min
Ep 98/300 | Steps:  35 | Reward:  -6.300 | ETA: 3.2 min
Ep 99/300 | Steps:  31 | Reward:  -4.100 | ETA: 3.2 min
Ep 100/300 | Steps:  31 | Reward:  -5.900 | ETA: 3.2 min
Ep 101/300 | Steps:  29 | Reward:  -3.900 | ETA: 3.2 min
Ep 102/300 | Steps:  31 | Reward:  -4.100 | ETA: 3.2 min
Ep 103/300 | Steps:  36 | Reward:  -6.400 | ETA: 3.1 min
Ep 104/300 | Steps:  32 | Reward:  -6.000 | ETA: 3.1 min
Ep 105/300 | Steps:  35 | Reward:  -6.300 | ETA: 3.1 min
Ep 106/300 | Steps:  28 | Reward:  -3.800 | ETA: 3.1 min
Ep 107/300 | Steps:  34 | Reward:  -5.300 | ETA: 3.1 min
Ep 108/300 | Steps:  37 | Reward:  -5.600 | ETA: 3.1 min
Ep 109/300 | Steps:  31 | Reward:  -5.000 | ETA: 3.1 min
Ep 110/300 | Steps:  37 | Reward:  -9.200 | ETA: 3.0 min
Ep 111/300 | Steps:  32 | Reward:  -6.900 | ETA: 3.0 min
Ep 112/300 | Steps:  24 | Reward:  -3.400 | ETA: 3.0 min
Ep 113/300 | Steps:  25 | Reward:  -4.400 | ETA: 3.0 min
Ep 114/300 | Steps:  23 | Reward:  -3.300 | ETA: 3.0 min
Ep 115/300 | Steps:  28 | Reward:  -4.700 | ETA: 2.9 min
Ep 116/300 | Steps:  38 | Reward:  -8.400 | ETA: 2.9 min
Ep 117/300 | Steps:  30 | Reward:  -6.700 | ETA: 2.9 min
Ep 118/300 | Steps:  22 | Reward:  -3.200 | ETA: 2.9 min
Ep 119/300 | Steps:  25 | Reward:  -4.400 | ETA: 2.9 min
